experiment_name,loss_mode,repeat_idx,seed,bce_weight,dice_weight,dice_smooth,soft_bce_smooth,best_miou,last_miou,best_macro_f1,last_macro_f1,best_rare_miou,last_rare_miou,epochs,focal_weight,tversky_weight,tversky_alpha,tversky_beta,focal_gamma,mix_weight,dice_smooth,soft_bce_smooth,alpha,gamma,beta
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-05,0.0,0.099472551060927,0.099472551060927,0.1376587929434466,0.1376587929434466,0.1038872602621626,0.1038872602621626,5,,,,,,0.8,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0e+00,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-05,0.0,0.0617848551347453,0.0617848551347453,0.0810276535921553,0.0810276535921553,0.1112127392425416,0.1112127392425416,5,,,,,,0.8,1e-05,0.0,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-05,0.05,0.0588147974180269,0.0588147974180269,0.077846060332352,0.077846060332352,0.1058666353524485,0.1058666353524485,5,,,,,,0.8,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-05,0.05,0.0628342114772322,0.0628342114772322,0.0870388944289194,0.0870388944289194,0.1023706157483607,0.1018838016478039,5,,,,,,0.8,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.05,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-05,0.05,0.0991444797128684,0.0991444797128684,0.1368919539015966,0.1368919539015966,0.108863765572904,0.108863765572904,5,,,,,,0.8,1e-05,0.05,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,0,42,0.8,0.1999999999999999,1e-05,0.1,0.0570105158152475,0.0570105158152475,0.0763983364115225,0.0763983364115225,0.1026189284674455,0.1026189284674455,5,,,,,,0.8,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,1,43,0.8,0.1999999999999999,1e-05,0.1,0.0983255652376943,0.0983255652376943,0.1359290581779995,0.1359290581779995,0.1016129283119159,0.1016129283119159,5,,,,,,0.8,1e-05,0.1,,,
soft_bce_dice__mix_weight-0.8__dice_smooth-1e-05__soft_bce_smooth-0.1,soft_bce_dice,2,44,0.8,0.1999999999999999,1e-05,0.1,0.0610261101531814,0.0610261101531814,0.0801536970110183,0.0801536970110183,0.1098469982757265,0.1098469982757265,5,,,,,,0.8,1e-05,0.1,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,0,42,0.2,0.8,1e-07,,0.1417403591876555,0.1417403591876555,0.2086447869314847,0.2086447869314847,0.1417751991115867,0.1155742732185004,5,,,,,,0.2,1e-07,,,,
bce_dice__mix_weight-0.2__dice_smooth-1e-07,bce_dice,1,43,0.2,0.8,1e-07,,0.1330399791680536,0.1330399791680536,0.1990345361533046,0.1990345361533046,0.1355550092137939,0.1326877443183847,5,,,,,,0.2,1e-07,,,,
